Short Stay,Penguins,Longest rivers,Island,Seaside,Historical,Speaking Spanish,Food,Architecture,Dream Location
No        ,No      ,No            ,No    ,No     ,Yes       ,Yes             ,Yes ,No          ,Spain
Yes       ,No      ,No            ,Yes   ,Yes    ,Yes       ,No              ,Yes ,Yes         ,Greece
Yes       ,No      ,No            ,No    ,No     ,Yes       ,Yes             ,Yes ,No          ,Spain
Yes       ,No      ,No            ,Yes   ,Yes    ,Yes       ,No              ,Yes ,Yes         ,Greece
No        ,Yes     ,Yes           ,No    ,No     ,No        ,Yes             ,Yes ,No          ,Argentina
No        ,No      ,Yes           ,No    ,No     ,Yes       ,No              ,Yes ,Yes         ,Egypt
No        ,Yes     ,No            ,No    ,Yes    ,No        ,No              ,Yes ,No          ,Australia
No        ,No      ,No            ,No    ,No     ,Yes       ,Yes             ,Yes ,No          ,Spain
Yes       ,No      ,Yes           ,No    ,No     ,Yes       ,Yes             ,No  ,No          ,Spain
No        ,No      ,No            ,No    ,Yes    ,Yes       ,No              ,Yes ,Yes         ,Greece
No        ,No      ,No            ,Yes   ,Yes    ,No        ,No              ,No  ,No          ,Australia
No        ,No      ,Yes           ,No    ,No     ,Yes       ,No              ,No  ,Yes         ,Egypt
No        ,Yes     ,No            ,No    ,Yes    ,No        ,No              ,No  ,No          ,Australia
No        ,Yes     ,No            ,No    ,Yes    ,No        ,No              ,Yes ,No          ,Australia
Yes       ,No      ,No            ,No    ,No     ,Yes       ,No              ,Yes ,No          ,Spain
No        ,Yes     ,No            ,Yes   ,No     ,No        ,No              ,Yes ,No          ,Australia
No        ,Yes     ,No            ,No    ,Yes    ,No        ,No              ,No  ,No          ,Australia
Yes       ,No      ,No            ,No    ,No     ,Yes       ,Yes             ,Yes ,No          ,Spain
No        ,Yes     ,No            ,No    ,Yes    ,Yes       ,Yes             ,Yes ,Yes         ,Greece
No        ,Yes     ,Yes           ,No    ,No     ,No        ,Yes             ,Yes ,No          ,Argentina
No        ,Yes     ,Yes           ,Yes   ,Yes    ,No        ,Yes             ,Yes ,No          ,Argentina
No        ,Yes     ,Yes           ,No    ,No     ,No        ,Yes             ,Yes ,No          ,Argentina
No        ,No      ,No            ,Yes   ,Yes    ,No        ,No              ,No  ,No          ,Australia
Yes       ,No      ,No            ,Yes   ,No     ,No        ,No              ,Yes ,Yes         ,Greece
No        ,Yes     ,Yes           ,Yes   ,Yes    ,No        ,Yes             ,Yes ,No          ,Argentina
No        ,No      ,Yes           ,No    ,No     ,Yes       ,No              ,Yes ,Yes         ,Egypt
Yes       ,No      ,No            ,Yes   ,Yes    ,Yes       ,No              ,No  ,Yes         ,Greece
No        ,No      ,No            ,No    ,Yes    ,No        ,No              ,Yes ,No          ,Spain
No        ,No      ,No            ,Yes   ,Yes    ,Yes       ,No              ,No  ,Yes         ,Greece
